d(mm),B(mm),fc(Mpa),Rr,av/d,F,fy(Mpa),vf%,Vu (KN)
85.25,100,54.8,0.0166,3.4018,0.9525,420,1,20
85.25,100,50,0.0166,3.4018,1.905,420,2,22
85.25,100,49.3,0.0166,3.4018,1.42875,420,1,21.5
85.25,100,49.3,0.0166,3.4018,1.42875,420,1,18.5
85.25,100,53.7,0.0166,3.4018,2.8575,420,2,20
85.25,100,53.5,0.0166,3.4018,0.714375,420,0.5,22.5
85.25,100,53.5,0.0166,3.4018,0.714375,420,0.5,17.5
273,200,110.9,0.0348,2.7106,0.477272727,436,0.75,200.6
273,200,109.2,0.0348,2.7106,0.5,436,0.75,209.3
165,80,41.23,0.0171,2.8333,0.5,500,1,32.725
165,80,39.87,0.0171,2.8333,0.75,500,1.5,41.25
420,300,62.3,0.0322,3.1905,0.4875,498,0.75,410.5
648,450,62.3,0.0327,3.2407,0.4875,509,0.75,793
887,600,62.3,0.0343,3.2469,0.4875,481,0.75,1430
222,125,30,0.0145,1.7568,0.4,500,0.5,79
222,125,30,0.0145,1.7568,0.4,500,0.5,86
270,70,50,0.0332,2.5185,0.334515,600.8,0.769,81.29
270,110,50,0.0212,2.5185,0.334515,600.8,0.769,95.81
270,150,50,0.0155,2.5185,0.334515,600.8,0.769,109.172
258,310,23,0.025,2.4186,0.545454545,404,1,210
240,310,41,0.0403,2.375,0.545454545,404,1,280
258,310,41,0.025,2.4186,0.545454545,404,1,277
240,310,80,0.0403,2.375,0.545454545,404,1,457.5
531,300,23,0.0188,2.7175,0.545454545,404,1,248
523,300,23,0.0255,2.7132,0.545454545,449,1,238
523,300,41,0.0255,2.7132,0.545454545,404,1,440
923,300,41,0.0144,2.8375,0.545454545,404,1,479
920,300,41,0.0203,2.837,0.545454545,415,1,484
923,300,80,0.0144,2.8375,0.545454545,404,1,632.5
920,300,80,0.0203,2.837,0.545454545,415,1,630.5
300,200,215,0.036,3.1667,1.090909091,479,2,371.5
300,200,199,0.036,1.6667,1.090909091,490,2,585.5
266,120,31.9,0.0126,1.0902,0.075,420,0.2,126.2109091
266,120,31.9,0.0126,1.0902,0.15,420,0.4,132.6829091
266,120,31.9,0.0126,1.0902,0.225,420,0.6,145.6276364
